month,num,link,year,news,safe_title,alt,img,title,day
4,417,,2008,,The Man Who Fell Sideways,Strip originally conceived in conversation with Jeph Jacques.  Soon to be a major motion picture.,https://imgs.xkcd.com/comics/the_man_who_fell_sideways.png,The Man Who Fell Sideways,30
12,987,,2011,,Potential,"The bunch of disadvantaged kids I was tutoring became too good at writing, and their essays were forcing me to confront painful existential questions, so I started trying to turn them on to drugs and crime instead.",https://imgs.xkcd.com/comics/potential.png,Potential,7
9,1424,,2014,,En Garde,"'Touch!' 'Nope, I sighed and stared at you with resignation, so I regained emotional right-of-way.'",https://imgs.xkcd.com/comics/en_garde.png,En Garde,22
3,2903,,2024,,Earth/Venus Venn Diagram,"Actually, the fact that Mars is still orbiting safely over here means that it was technically an *Euler* apocalypse, not a Venn one.",https://imgs.xkcd.com/comics/earth_venus_venn_diagram.png,Earth/Venus Venn Diagram,6
1,2406,,2021,,Viral Vector Immunity,"We've secretly replaced this customer's instant coffee with our patented substitute. Let's see what she ... uh oh, I think she spotted us through the window. Now she's getting something from the closet ... oh jeez, she has a sword! Run!!",https://imgs.xkcd.com/comics/viral_vector_immunity.png,Viral Vector Immunity,1
12,1775,,2016,,Things You Learn,"Guess who has two thumbs and spent the night in an ER after trying to rescue a kitten that ran under his car at a stoplight and climbed up into the engine compartment? And, thanks to antibiotics, will continue having two thumbs? THIS GUY. (P.S. kitten is safe!)",https://imgs.xkcd.com/comics/things_you_learn.png,Things You Learn,21
12,1769,,2016,,Never Seen Star Wars,"If anyone calls you on any weird detail, just say it's from the Jedi Prince book series, which contains so much random incongruous stuff that even most Expanded Universe/Legends fans collectively agreed to forget about it decades ago.",https://imgs.xkcd.com/comics/never_seen_star_wars.png,Never Seen Star Wars,7
10,654,,2009,,Nachos,"'Cheater!' 'Hey, gaming on wifi? You have only yourself to blame.'",https://imgs.xkcd.com/comics/nachos.png,Nachos,26
6,2166,,2019,,Stack,"Gotta feel kind of bad for nation-state hackers who spend years implanting and cultivating some hardware exploit, only to discover the entire target database is already exposed to anyone with a web browser.",https://imgs.xkcd.com/comics/stack.png,Stack,21
12,520,,2008,,Cuttlefish,Unless the CS students finish the robot revolution before you finish the cephalopod one.,https://imgs.xkcd.com/comics/cuttlefish.png,Cuttlefish,22
