Movie Title,Budget,Domestic Gross,International Gross,Worldwide Gross
The Shawshank Redemption,25000000,28767189,541331,29330423
The Godfather,6000000,136381073,113960743,250342030
The Dark Knight,185000000,534987076,473487788,1008524647
The Godfather Part II,47542841,47834595,127538,47962897
12 Angry Men,379,955,2667,576
Schindler's List,22000000,96898818,225262427,322161245
The Lord of the Rings: The Return of the King,94000000,381878219,769172437,1151462071
Pulp Fiction,8000000,107928762,106000000,213928762
The Lord of the Rings: The Fellowship of the Ring,93000000,319372078,567428321,887434648
"The Good, the Bad and the Ugly",18063,25100000,153887,25260653
Forrest Gump,55000000,330455270,347771195,678226465
The Lord of the Rings: The Two Towers,94000000,345518923,591753276,937893849
Fight Club,63000000,37030102,64284776,101320107
Inception,160000000,292587330,546443300,839030630
Star Wars: Episode V - The Empire Strikes Back,18000000,292753960,190685234,538375067
The Matrix,63000000,172076928,295359711,467840449
Goodfellas,46836214,46909721,127063,47049999
One Flew Over the Cuckoo's Nest,108981275,108981275,133921,109115366
Interstellar,165000000,188020017,517171225,705191242
Se7en,33000000,100125643,227207916,327333559
It's a Wonderful Life,4163338,1483643,8256665,9767242
Seven Samurai,561692,710332,27609,737941
The Silence of the Lambs,19000000,130742922,142000000,272742922
Saving Private Ryan,70000000,217049603,265300000,482351251
City of God,7564459,7564459,23116334,30680793
